Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuite1 (1),Chrome 73.0.3683.86,,2019-03-28 13:14:15,2019-03-28 13:14:56,41.252s,FAILED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/DemoTestSuite1 (1)/DemoTestCase1,Chrome 73.0.3683.86,,2019-03-28 13:14:15,2019-03-28 13:14:30,14.189s,PASSED
"""----------------------------------------------------""",Chrome 73.0.3683.86,,2019-03-28 13:14:17,2019-03-28 13:14:17,0.001s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 73.0.3683.86,,2019-03-28 13:14:17,2019-03-28 13:14:17,0.001s,PASSED
"""Generated date: 12-Mar-2019 02:48:22 PM""",Chrome 73.0.3683.86,,2019-03-28 13:14:17,2019-03-28 13:14:17,0.001s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Suites\DemoTestSuite1.html""",Chrome 73.0.3683.86,,2019-03-28 13:14:17,2019-03-28 13:14:17,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 73.0.3683.86,,2019-03-28 13:14:17,2019-03-28 13:14:17,0.003s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Chrome 73.0.3683.86,----------------------------------------------------,2019-03-28 13:14:17,2019-03-28 13:14:17,0.025s,PASSED
openBrowser(baseUrl),Chrome 73.0.3683.86,,2019-03-28 13:14:17,2019-03-28 13:14:23,6.779s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 73.0.3683.86,,2019-03-28 13:14:23,2019-03-28 13:14:24,0.170s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"")",Chrome 73.0.3683.86,open | http://demo.guru99.com/test/login.html | ,2019-03-28 13:14:24,2019-03-28 13:14:24,0.417s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-03-28 13:14:24,2019-03-28 13:14:24,0.160s,PASSED
"selenium.type(""id=email"", ""abcd@gmail.com"")",Chrome 73.0.3683.86,type | id=email | abcd@gmail.com,2019-03-28 13:14:24,2019-03-28 13:14:24,0.088s,PASSED
"selenium.type(""id=passwd"", ""abcde"")",Chrome 73.0.3683.86,type | id=passwd | abcde,2019-03-28 13:14:24,2019-03-28 13:14:24,0.085s,PASSED
"pw1 = selenium.getValue(""id=passwd"")",Chrome 73.0.3683.86,,2019-03-28 13:14:24,2019-03-28 13:14:24,0.058s,PASSED
"if (pw1 == ""abcde"")",Chrome 73.0.3683.86,,2019-03-28 13:14:24,2019-03-28 13:14:24,0.008s,PASSED
"selenium.type(""id=email"", """")",Chrome 73.0.3683.86,type | id=email | ,2019-03-28 13:14:24,2019-03-28 13:14:24,0.053s,PASSED
"selenium.type(""id=passwd"", """")",Chrome 73.0.3683.86,type | id=passwd | ,2019-03-28 13:14:24,2019-03-28 13:14:24,0.051s,PASSED
"pw2 = selenium.getValue(""id=passwd"")",Chrome 73.0.3683.86,,2019-03-28 13:14:24,2019-03-28 13:14:25,0.036s,PASSED
"if (pw2 == ""abcde"")",Chrome 73.0.3683.86,,2019-03-28 13:14:25,2019-03-28 13:14:25,0.001s,PASSED
else,Chrome 73.0.3683.86,,2019-03-28 13:14:25,2019-03-28 13:14:25,0.002s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-03-28 13:14:25,2019-03-28 13:14:25,0.044s,PASSED
