Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuite1 (1),Chrome 73.0.3683.86,,2019-03-28 17:20:42,2019-03-28 17:21:23,41.189s,FAILED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/DemoTestSuite1 (1)/DemoTestCase1,Chrome 73.0.3683.86,,2019-03-28 17:20:43,2019-03-28 17:20:55,12.884s,PASSED
"""----------------------------------------------------""",Chrome 73.0.3683.86,,2019-03-28 17:20:44,2019-03-28 17:20:44,0.001s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 73.0.3683.86,,2019-03-28 17:20:44,2019-03-28 17:20:44,0.001s,PASSED
"""Generated date: 12-Mar-2019 02:48:22 PM""",Chrome 73.0.3683.86,,2019-03-28 17:20:44,2019-03-28 17:20:44,0.000s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Suites\DemoTestSuite1.html""",Chrome 73.0.3683.86,,2019-03-28 17:20:44,2019-03-28 17:20:44,0.000s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 73.0.3683.86,,2019-03-28 17:20:44,2019-03-28 17:20:44,0.009s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Chrome 73.0.3683.86,----------------------------------------------------,2019-03-28 17:20:44,2019-03-28 17:20:44,0.011s,PASSED
openBrowser(baseUrl),Chrome 73.0.3683.86,,2019-03-28 17:20:44,2019-03-28 17:20:50,6.689s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 73.0.3683.86,,2019-03-28 17:20:50,2019-03-28 17:20:50,0.126s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"")",Chrome 73.0.3683.86,open | http://demo.guru99.com/test/login.html | ,2019-03-28 17:20:50,2019-03-28 17:20:51,0.359s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-03-28 17:20:51,2019-03-28 17:20:51,0.146s,PASSED
"selenium.type(""id=email"", ""abcd@gmail.com"")",Chrome 73.0.3683.86,type | id=email | abcd@gmail.com,2019-03-28 17:20:51,2019-03-28 17:20:51,0.044s,PASSED
"selenium.type(""id=passwd"", ""abcde"")",Chrome 73.0.3683.86,type | id=passwd | abcde,2019-03-28 17:20:51,2019-03-28 17:20:51,0.054s,PASSED
"pw1 = selenium.getValue(""id=passwd"")",Chrome 73.0.3683.86,,2019-03-28 17:20:51,2019-03-28 17:20:51,0.042s,PASSED
"if (pw1 == ""abcde"")",Chrome 73.0.3683.86,,2019-03-28 17:20:51,2019-03-28 17:20:51,0.005s,PASSED
"selenium.type(""id=email"", """")",Chrome 73.0.3683.86,type | id=email | ,2019-03-28 17:20:51,2019-03-28 17:20:51,0.040s,PASSED
"selenium.type(""id=passwd"", """")",Chrome 73.0.3683.86,type | id=passwd | ,2019-03-28 17:20:51,2019-03-28 17:20:51,0.051s,PASSED
"pw2 = selenium.getValue(""id=passwd"")",Chrome 73.0.3683.86,,2019-03-28 17:20:51,2019-03-28 17:20:51,0.036s,PASSED
"if (pw2 == ""abcde"")",Chrome 73.0.3683.86,,2019-03-28 17:20:51,2019-03-28 17:20:51,0.001s,PASSED
else,Chrome 73.0.3683.86,,2019-03-28 17:20:51,2019-03-28 17:20:51,0.001s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-03-28 17:20:51,2019-03-28 17:20:51,0.038s,PASSED
"selenium.type(""id=email"", ""abcd@gmail.com"")",Chrome 73.0.3683.86,type | id=email | abcd@gmail.com,2019-03-28 17:20:51,2019-03-28 17:20:51,0.042s,PASSED
"selenium.type(""id=passwd"", ""abcde"")",Chrome 73.0.3683.86,type | id=passwd | abcde,2019-03-28 17:20:51,2019-03-28 17:20:51,0.035s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::span[2]"")",Chrome 73.0.3683.86,click | xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::span[2] | ,2019-03-28 17:20:51,2019-03-28 17:20:52,0.598s,PASSED
"click(findTestObject(""Object Repository/Imported from Selenium IDE Scripts/DemoTestSuite1 (1)/DemoTestCase1/a_Telecom Project""))",Chrome 73.0.3683.86,,2019-03-28 17:20:52,2019-03-28 17:20:53,0.872s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-03-28 17:20:53,2019-03-28 17:20:53,0.606s,PASSED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/DemoTestSuite1 (1)/DemoTestCase2,Chrome 73.0.3683.86,,2019-03-28 17:20:55,2019-03-28 17:21:16,20.373s,PASSED
"""----------------------------------------------------""",Chrome 73.0.3683.86,,2019-03-28 17:20:56,2019-03-28 17:20:56,0.001s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 73.0.3683.86,,2019-03-28 17:20:56,2019-03-28 17:20:56,0.000s,PASSED
"""Generated date: 12-Mar-2019 02:48:24 PM""",Chrome 73.0.3683.86,,2019-03-28 17:20:56,2019-03-28 17:20:56,0.000s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Suites\DemoTestSuite1.html""",Chrome 73.0.3683.86,,2019-03-28 17:20:56,2019-03-28 17:20:56,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 73.0.3683.86,,2019-03-28 17:20:56,2019-03-28 17:20:56,0.000s,PASSED
"baseUrl = ""http://demo.guru99.com/test/radio.html""",Chrome 73.0.3683.86,----------------------------------------------------,2019-03-28 17:20:56,2019-03-28 17:20:56,0.002s,PASSED
openBrowser(baseUrl),Chrome 73.0.3683.86,,2019-03-28 17:20:56,2019-03-28 17:21:09,13.698s,PASSED
