Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Setup3,Firefox 66.0,,2019-04-04 16:13:31,2019-04-04 16:14:08,36.631s,INCOMPLETE
,,,,,,
Test Cases/Setup3,Firefox 66.0,,2019-04-04 16:13:31,2019-04-04 16:14:08,36.370s,PASSED
"""----------------------------------------------------""",Firefox 66.0,,2019-04-04 16:13:32,2019-04-04 16:13:32,0.003s,PASSED
"""This test case script is generated by Katalon Studio""",Firefox 66.0,,2019-04-04 16:13:32,2019-04-04 16:13:32,0.002s,PASSED
"""Generated date: 26-Mar-2019 03:22:29 PM""",Firefox 66.0,,2019-04-04 16:13:32,2019-04-04 16:13:32,0.003s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Recorder Suites\Simple.html""",Firefox 66.0,,2019-04-04 16:13:32,2019-04-04 16:13:32,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Firefox 66.0,,2019-04-04 16:13:32,2019-04-04 16:13:32,0.002s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Firefox 66.0,----------------------------------------------------,2019-04-04 16:13:32,2019-04-04 16:13:32,0.017s,PASSED
openBrowser(baseUrl),Firefox 66.0,,2019-04-04 16:13:32,2019-04-04 16:13:55,23.500s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Firefox 66.0,,2019-04-04 16:13:55,2019-04-04 16:13:56,0.203s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"", """")",Firefox 66.0,open | http://demo.guru99.com/test/login.html | ,2019-04-04 16:13:56,2019-04-04 16:13:56,0.647s,PASSED
"selenium.click(""id=email"")",Firefox 66.0,click | id=email | ,2019-04-04 16:13:56,2019-04-04 16:13:57,0.393s,PASSED
"selenium.type(""id=email"", ""person"")",Firefox 66.0,type | id=email | person,2019-04-04 16:13:57,2019-04-04 16:13:57,0.113s,PASSED
"selenium.type(""id=passwd"", ""password"")",Firefox 66.0,type | id=passwd | password,2019-04-04 16:13:57,2019-04-04 16:13:57,0.126s,PASSED
"selenium.click(""id=SubmitLogin"")",Firefox 66.0,click | id=SubmitLogin | ,2019-04-04 16:13:57,2019-04-04 16:13:58,1.037s,PASSED
"selenium.click(""//html/body/div[2]/div/div/a"")",Firefox 66.0,click | //html/body/div[2]/div/div/a | ,2019-04-04 16:13:58,2019-04-04 16:14:04,6.448s,PASSED
"Assert.assertEquals(""Meet Guru99 - Free Training Tutorials & Video for IT Courses"", selenium.getTitle())",Firefox 66.0,assertTitle | Meet Guru99 - Free Training Tutorials &amp; Video for IT Courses | ,2019-04-04 16:14:04,2019-04-04 16:14:04,0.030s,PASSED
selenium.close(),Firefox 66.0,close | win_ser_local | ,2019-04-04 16:14:04,2019-04-04 16:14:06,1.094s,PASSED
