Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Setup2,Chrome 73.0.3683.86,,2019-04-04 15:30:00,2019-04-05 12:13:36,20h - 43m - 36.370s,INCOMPLETE
,,,,,,
Test Cases/Setup2,Chrome 73.0.3683.86,,2019-04-04 15:30:00,2019-04-05 12:13:36,20h - 43m - 36.060s,ERROR
"""----------------------------------------------------""",Chrome 73.0.3683.86,,2019-04-04 15:30:01,2019-04-04 15:30:01,0.004s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 73.0.3683.86,,2019-04-04 15:30:01,2019-04-04 15:30:01,0.002s,PASSED
"""Generated date: 26-Mar-2019 03:22:29 PM""",Chrome 73.0.3683.86,,2019-04-04 15:30:01,2019-04-04 15:30:01,0.004s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Recorder Suites\Simple.html""",Chrome 73.0.3683.86,,2019-04-04 15:30:01,2019-04-04 15:30:01,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 73.0.3683.86,,2019-04-04 15:30:01,2019-04-04 15:30:01,0.003s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Chrome 73.0.3683.86,----------------------------------------------------,2019-04-04 15:30:01,2019-04-04 15:30:01,0.012s,PASSED
openBrowser(baseUrl),Chrome 73.0.3683.86,,2019-04-04 15:30:01,2019-04-04 15:30:09,8.031s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 73.0.3683.86,,2019-04-04 15:30:09,2019-04-04 15:30:10,0.139s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"", """")",Chrome 73.0.3683.86,open | http://demo.guru99.com/test/login.html | ,2019-04-04 15:30:10,2019-04-04 15:30:10,0.391s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-04-04 15:30:10,2019-04-04 15:30:10,0.148s,PASSED
"selenium.type(""id=email"", ""person"")",Chrome 73.0.3683.86,type | id=email | person,2019-04-04 15:30:10,2019-04-04 15:30:10,0.051s,PASSED
"selenium.type(""id=passwd"", ""password"")",Chrome 73.0.3683.86,type | id=passwd | password,2019-04-04 15:30:10,2019-04-04 15:30:10,0.066s,PASSED
"selenium.click(""id=SubmitLogin"")",Chrome 73.0.3683.86,click | id=SubmitLogin | ,2019-04-04 15:30:10,2019-04-04 15:30:11,0.808s,PASSED
"selenium.click(""//html/body/div[2]/div/div/a"")",Chrome 73.0.3683.86,click | //html/body/div[2]/div/div/a | ,2019-04-04 15:30:11,2019-04-04 15:30:14,2.750s,PASSED
"Assert.assertEquals(""Meet Guru99 - Free Training Tutorials & Video for IT Courses"", selenium.getTitle())",Chrome 73.0.3683.86,assertTitle | Meet Guru99 - Free Training Tutorials &amp; Video for IT Courses | ,2019-04-04 15:30:14,2019-04-04 15:30:14,0.128s,PASSED
selenium.close(),Chrome 73.0.3683.86,close | win_ser_local | ,2019-04-04 15:30:14,2019-04-05 12:13:06,20h - 42m - 52.419s,ERROR
