Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuite1 (1),Chrome 73.0.3683.86,,2019-03-28 12:43:20,2019-03-28 12:44:13,53.232s,FAILED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/DemoTestSuite1 (1)/DemoTestCase1,Chrome 73.0.3683.86,,2019-03-28 12:43:20,2019-03-28 12:43:34,13.668s,PASSED
"""----------------------------------------------------""",Chrome 73.0.3683.86,,2019-03-28 12:43:21,2019-03-28 12:43:21,0.002s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 73.0.3683.86,,2019-03-28 12:43:21,2019-03-28 12:43:21,0.001s,PASSED
"""Generated date: 12-Mar-2019 02:48:22 PM""",Chrome 73.0.3683.86,,2019-03-28 12:43:21,2019-03-28 12:43:21,0.001s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Suites\DemoTestSuite1.html""",Chrome 73.0.3683.86,,2019-03-28 12:43:21,2019-03-28 12:43:21,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 73.0.3683.86,,2019-03-28 12:43:21,2019-03-28 12:43:21,0.002s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Chrome 73.0.3683.86,----------------------------------------------------,2019-03-28 12:43:21,2019-03-28 12:43:21,0.015s,PASSED
openBrowser(baseUrl),Chrome 73.0.3683.86,,2019-03-28 12:43:21,2019-03-28 12:43:28,6.661s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 73.0.3683.86,,2019-03-28 12:43:28,2019-03-28 12:43:28,0.102s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"")",Chrome 73.0.3683.86,open | http://demo.guru99.com/test/login.html | ,2019-03-28 12:43:28,2019-03-28 12:43:28,0.337s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-03-28 12:43:28,2019-03-28 12:43:28,0.149s,PASSED
"selenium.type(""id=email"", ""abcd@gmail.com"")",Chrome 73.0.3683.86,type | id=email | abcd@gmail.com,2019-03-28 12:43:28,2019-03-28 12:43:28,0.058s,PASSED
"selenium.type(""id=passwd"", ""abcde"")",Chrome 73.0.3683.86,type | id=passwd | abcde,2019-03-28 12:43:28,2019-03-28 12:43:28,0.057s,PASSED
"pw1 = selenium.getValue(""id=passwd"")",Chrome 73.0.3683.86,,2019-03-28 12:43:28,2019-03-28 12:43:28,0.037s,PASSED
"if (pw1 == ""abcde"")",Chrome 73.0.3683.86,,2019-03-28 12:43:28,2019-03-28 12:43:28,0.009s,PASSED
"selenium.type(""id=email"", """")",Chrome 73.0.3683.86,type | id=email | ,2019-03-28 12:43:28,2019-03-28 12:43:28,0.055s,PASSED
"selenium.type(""id=passwd"", """")",Chrome 73.0.3683.86,type | id=passwd | ,2019-03-28 12:43:28,2019-03-28 12:43:29,0.043s,PASSED
"pw2 = selenium.getValue(""id=passwd"")",Chrome 73.0.3683.86,,2019-03-28 12:43:29,2019-03-28 12:43:29,0.038s,PASSED
"if (pw2 == ""abcde"")",Chrome 73.0.3683.86,,2019-03-28 12:43:29,2019-03-28 12:43:29,0.001s,PASSED
else,Chrome 73.0.3683.86,,2019-03-28 12:43:29,2019-03-28 12:43:29,0.003s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-03-28 12:43:29,2019-03-28 12:43:29,0.043s,PASSED
"selenium.type(""id=email"", ""abcd@gmail.com"")",Chrome 73.0.3683.86,type | id=email | abcd@gmail.com,2019-03-28 12:43:29,2019-03-28 12:43:29,0.039s,PASSED
"selenium.type(""id=passwd"", ""abcde"")",Chrome 73.0.3683.86,type | id=passwd | abcde,2019-03-28 12:43:29,2019-03-28 12:43:29,0.045s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::span[2]"")",Chrome 73.0.3683.86,click | xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::span[2] | ,2019-03-28 12:43:29,2019-03-28 12:43:29,0.675s,PASSED
"click(findTestObject(""Object Repository/Imported from Selenium IDE Scripts/DemoTestSuite1 (1)/DemoTestCase1/a_Telecom Project""))",Chrome 73.0.3683.86,,2019-03-28 12:43:29,2019-03-28 12:43:31,1.581s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-03-28 12:43:31,2019-03-28 12:43:32,0.618s,PASSED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/DemoTestSuite1 (1)/DemoTestCase2,Chrome 73.0.3683.86,,2019-03-28 12:43:34,2019-03-28 12:44:05,31.362s,PASSED
"""----------------------------------------------------""",Chrome 73.0.3683.86,,2019-03-28 12:43:34,2019-03-28 12:43:34,0.001s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 73.0.3683.86,,2019-03-28 12:43:34,2019-03-28 12:43:34,0.000s,PASSED
"""Generated date: 12-Mar-2019 02:48:24 PM""",Chrome 73.0.3683.86,,2019-03-28 12:43:34,2019-03-28 12:43:34,0.000s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Suites\DemoTestSuite1.html""",Chrome 73.0.3683.86,,2019-03-28 12:43:34,2019-03-28 12:43:34,0.000s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 73.0.3683.86,,2019-03-28 12:43:34,2019-03-28 12:43:34,0.000s,PASSED
"baseUrl = ""http://demo.guru99.com/test/radio.html""",Chrome 73.0.3683.86,----------------------------------------------------,2019-03-28 12:43:34,2019-03-28 12:43:34,0.001s,PASSED
openBrowser(baseUrl),Chrome 73.0.3683.86,,2019-03-28 12:43:34,2019-03-28 12:43:47,13.064s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 73.0.3683.86,,2019-03-28 12:43:47,2019-03-28 12:43:47,0.025s,PASSED
"selenium.open(""http://demo.guru99.com/test/radio.html"")",Chrome 73.0.3683.86,open | http://demo.guru99.com/test/radio.html | ,2019-03-28 12:43:47,2019-03-28 12:43:47,0.304s,PASSED
"selenium.click(""id=vfb-7-1"")",Chrome 73.0.3683.86,click | id=vfb-7-1 | ,2019-03-28 12:43:47,2019-03-28 12:43:47,0.102s,PASSED
"selenium.click(""id=vfb-7-2"")",Chrome 73.0.3683.86,click | id=vfb-7-2 | ,2019-03-28 12:43:47,2019-03-28 12:43:47,0.064s,PASSED
"selenium.click(""id=vfb-6-0"")",Chrome 73.0.3683.86,click | id=vfb-6-0 | ,2019-03-28 12:43:47,2019-03-28 12:43:47,0.067s,PASSED
"Assert.assertTrue(selenium.isChecked(""id=vfb-6-0""))",Chrome 73.0.3683.86,assertChecked | id=vfb-6-0 | ,2019-03-28 12:43:47,2019-03-28 12:43:48,0.034s,PASSED
"selenium.open(""http://demo.guru99.com/test/facebook.html"")",Chrome 73.0.3683.86,open | http://demo.guru99.com/test/facebook.html | ,2019-03-28 12:43:48,2019-03-28 12:44:02,14.613s,PASSED
