Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Setup2,Firefox 66.0,,2019-04-04 15:24:48,2019-04-04 15:25:24,36.345s,FAILED
,,,,,,
Test Cases/Setup2,Firefox 66.0,,2019-04-04 15:24:48,2019-04-04 15:25:24,36.103s,FAILED
"""----------------------------------------------------""",Firefox 66.0,,2019-04-04 15:24:49,2019-04-04 15:24:49,0.002s,PASSED
"""This test case script is generated by Katalon Studio""",Firefox 66.0,,2019-04-04 15:24:49,2019-04-04 15:24:49,0.001s,PASSED
"""Generated date: 26-Mar-2019 03:22:29 PM""",Firefox 66.0,,2019-04-04 15:24:49,2019-04-04 15:24:49,0.000s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Recorder Suites\Simple.html""",Firefox 66.0,,2019-04-04 15:24:49,2019-04-04 15:24:49,0.000s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Firefox 66.0,,2019-04-04 15:24:49,2019-04-04 15:24:49,0.000s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Firefox 66.0,----------------------------------------------------,2019-04-04 15:24:49,2019-04-04 15:24:49,0.014s,PASSED
openBrowser(baseUrl),Firefox 66.0,,2019-04-04 15:24:49,2019-04-04 15:24:56,6.936s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Firefox 66.0,,2019-04-04 15:24:56,2019-04-04 15:24:56,0.219s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"", """")",Firefox 66.0,open | http://demo.guru99.com/test/login.html | ,2019-04-04 15:24:56,2019-04-04 15:24:56,0.423s,PASSED
"selenium.click(""id=email"")",Firefox 66.0,click | id=email | ,2019-04-04 15:24:56,2019-04-04 15:24:57,0.451s,PASSED
"selenium.type(""id=email"", ""person"")",Firefox 66.0,type | id=email | person,2019-04-04 15:24:57,2019-04-04 15:24:57,0.121s,PASSED
"selenium.type(""id=passwd"", ""password"")",Firefox 66.0,type | id=passwd | password,2019-04-04 15:24:57,2019-04-04 15:24:57,0.115s,PASSED
"selenium.click(""id=SubmitLogin"")",Firefox 66.0,click | id=SubmitLogin | ,2019-04-04 15:24:57,2019-04-04 15:25:19,21.585s,PASSED
"selenium.click(""//html/body/div[2]/div/div/a"")",Firefox 66.0,click | //html/body/div[2]/div/div/a | ,2019-04-04 15:25:19,2019-04-04 15:25:21,2.412s,PASSED
"Assert.assertEquals(""Meet Guru99 - Free Training Tutorials & Video for IT Courses"", selenium.getTitle())",Firefox 66.0,assertTitle | Meet Guru99 - Free Training Tutorials &amp; Video for IT Courses | ,2019-04-04 15:25:21,2019-04-04 15:25:21,0.034s,PASSED
selenium.close(),Firefox 66.0,close | win_ser_local | ,2019-04-04 15:25:21,2019-04-04 15:25:22,0.954s,PASSED
closeBrowser(),Firefox 66.0,,2019-04-04 15:25:22,2019-04-04 15:25:22,0.114s,FAILED
