Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Simple,Firefox 66.0,,2019-03-26 15:25:50,2019-03-26 15:26:14,24.202s,FAILED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/Simple/Simple,Firefox 66.0,,2019-03-26 15:25:50,2019-03-26 15:26:05,14.519s,FAILED
"""----------------------------------------------------""",Firefox 66.0,,2019-03-26 15:25:51,2019-03-26 15:25:51,0.004s,PASSED
"""This test case script is generated by Katalon Studio""",Firefox 66.0,,2019-03-26 15:25:51,2019-03-26 15:25:51,0.002s,PASSED
"""Generated date: 26-Mar-2019 03:22:29 PM""",Firefox 66.0,,2019-03-26 15:25:51,2019-03-26 15:25:51,0.001s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Recorder Suites\Simple.html""",Firefox 66.0,,2019-03-26 15:25:51,2019-03-26 15:25:51,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Firefox 66.0,,2019-03-26 15:25:51,2019-03-26 15:25:51,0.002s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Firefox 66.0,----------------------------------------------------,2019-03-26 15:25:51,2019-03-26 15:25:51,0.014s,PASSED
openBrowser(baseUrl),Firefox 66.0,,2019-03-26 15:25:51,2019-03-26 15:25:58,6.670s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Firefox 66.0,,2019-03-26 15:25:58,2019-03-26 15:25:58,0.235s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"", """")",Firefox 66.0,open | http://demo.guru99.com/test/login.html | ,2019-03-26 15:25:58,2019-03-26 15:25:59,0.604s,PASSED
"selenium.click(""id=email"")",Firefox 66.0,click | id=email | ,2019-03-26 15:25:59,2019-03-26 15:25:59,0.458s,PASSED
"selenium.type(""id=email"", ""person"")",Firefox 66.0,type | id=email | person,2019-03-26 15:25:59,2019-03-26 15:25:59,0.149s,PASSED
"selenium.type(""id=passwd"", ""password"")",Firefox 66.0,type | id=passwd | password,2019-03-26 15:25:59,2019-03-26 15:25:59,0.129s,PASSED
"selenium.click(""id=SubmitLogin"")",Firefox 66.0,click | id=SubmitLogin | ,2019-03-26 15:25:59,2019-03-26 15:26:00,0.792s,PASSED
"selenium.click(""//html/body/div[2]/div/div/a"")",Firefox 66.0,click | //html/body/div[2]/div/div/a | ,2019-03-26 15:26:00,2019-03-26 15:26:03,2.541s,PASSED
"verifyEquals(""This is not the title"", selenium.getTitle())",Firefox 66.0,verifyTitle | This is not the title | ,2019-03-26 15:26:03,2019-03-26 15:26:03,0.039s,PASSED
"Assert.assertEquals(""Meet Guru99 - Free Training Tutorials &amp; Video for IT Courses"", selenium.getTitle())",Firefox 66.0,assertTitle | Meet Guru99 - Free Training Tutorials &amp; Video for IT Courses | ,2019-03-26 15:26:03,2019-03-26 15:26:03,0.051s,FAILED
