Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuite1 (1),Chrome 73.0.3683.86,,2019-03-28 11:02:30,2019-03-28 11:03:15,44.661s,FAILED
,,,,,,
Test Cases/Imported from Selenium IDE Scripts/DemoTestSuite1 (1)/DemoTestCase1,Chrome 73.0.3683.86,,2019-03-28 11:02:31,2019-03-28 11:02:47,15.931s,PASSED
"""----------------------------------------------------""",Chrome 73.0.3683.86,,2019-03-28 11:02:32,2019-03-28 11:02:32,0.001s,PASSED
"""This test case script is generated by Katalon Studio""",Chrome 73.0.3683.86,,2019-03-28 11:02:32,2019-03-28 11:02:32,0.000s,PASSED
"""Generated date: 12-Mar-2019 02:48:22 PM""",Chrome 73.0.3683.86,,2019-03-28 11:02:32,2019-03-28 11:02:32,0.001s,PASSED
"""File path: C:\Users\Brandon\Documents\Katalon Suites\DemoTestSuite1.html""",Chrome 73.0.3683.86,,2019-03-28 11:02:32,2019-03-28 11:02:32,0.001s,PASSED
"""Generated by: bolson@northwoodglobal.com""",Chrome 73.0.3683.86,,2019-03-28 11:02:32,2019-03-28 11:02:32,0.003s,PASSED
"baseUrl = ""http://demo.guru99.com/test/login.html""",Chrome 73.0.3683.86,----------------------------------------------------,2019-03-28 11:02:32,2019-03-28 11:02:32,0.010s,PASSED
openBrowser(baseUrl),Chrome 73.0.3683.86,,2019-03-28 11:02:32,2019-03-28 11:02:40,8.252s,PASSED
selenium = new com.kms.katalon.core.webui.driver.KatalonWebDriverBackedSelenium(baseUrl),Chrome 73.0.3683.86,,2019-03-28 11:02:40,2019-03-28 11:02:40,0.278s,PASSED
"selenium.open(""http://demo.guru99.com/test/login.html"")",Chrome 73.0.3683.86,open | http://demo.guru99.com/test/login.html | ,2019-03-28 11:02:40,2019-03-28 11:02:41,0.654s,PASSED
"selenium.click(""id=email"")",Chrome 73.0.3683.86,click | id=email | ,2019-03-28 11:02:41,2019-03-28 11:02:41,0.085s,PASSED
"selenium.type(""id=email"", ""abcd@gmail.com"")",Chrome 73.0.3683.86,type | id=email | abcd@gmail.com,2019-03-28 11:02:41,2019-03-28 11:02:41,0.053s,PASSED
"selenium.type(""id=passwd"", ""abcde"")",Chrome 73.0.3683.86,type | id=passwd | abcde,2019-03-28 11:02:41,2019-03-28 11:02:41,0.057s,PASSED
"pw1 = selenium.getValue(""id=passwd"")",Chrome 73.0.3683.86,,2019-03-28 11:02:41,2019-03-28 11:02:41,0.042s,PASSED
"if (pw1 == ""abcde"")",Chrome 73.0.3683.86,,2019-03-28 11:02:41,2019-03-28 11:02:41,0.008s,PASSED
